# app	/Users/jacob/githubApps/Scale/src-tauri/target/release/bundle/macos/Sovatela.app
# version	1.6.0
phase	time	source	remote
chat	09:01:43	rust	51.159.86.116:443
chat	09:01:44	rust	51.159.86.116:443
chat	09:01:44	rust	51.159.86.116:443
chat	09:01:45	rust	51.159.86.116:443
chat	09:01:45	rust	51.159.86.116:443
chat	09:01:46	rust	51.159.86.116:443
chat	09:01:46	rust	51.159.86.116:443
chat	09:01:46	rust	51.159.86.116:443
chat	09:01:47	rust	51.159.86.116:443
chat	09:01:47	rust	51.159.86.116:443
chat	09:01:48	rust	51.159.86.116:443
chat	09:01:48	rust	51.159.86.116:443
chat	09:01:49	rust	51.159.86.116:443
chat	09:01:49	rust	51.159.86.116:443
chat	09:01:50	rust	51.159.86.116:443
chat	09:01:50	rust	51.159.86.116:443
chat	09:01:51	rust	51.159.86.116:443
document	09:03:33	rust	51.159.86.116:443
document	09:03:33	rust	51.159.86.116:443
document	09:03:34	rust	51.159.86.116:443
document	09:03:34	rust	51.159.86.116:443
document	09:03:35	rust	51.159.86.116:443
document	09:03:35	rust	51.159.86.116:443
document	09:03:35	rust	51.159.86.116:443
document	09:03:36	rust	51.159.86.116:443
document	09:03:36	rust	51.159.86.116:443
document	09:03:37	rust	51.159.86.116:443
document	09:03:37	rust	51.159.86.116:443
document	09:03:38	rust	51.159.86.116:443
document	09:03:38	rust	51.159.86.116:443
document	09:03:39	rust	51.159.86.116:443
document	09:03:39	rust	51.159.86.116:443
document	09:03:39	rust	51.159.86.116:443
document	09:03:40	rust	51.159.86.116:443
document	09:03:40	rust	51.159.86.116:443
document	09:03:41	rust	51.159.86.116:443
document	09:03:41	rust	51.159.86.116:443
document	09:03:42	rust	51.159.86.116:443
document	09:03:42	rust	51.159.86.116:443
document	09:03:43	rust	51.159.86.116:443
document	09:03:43	rust	51.159.86.116:443
document	09:03:43	rust	51.159.86.116:443
document	09:03:44	rust	51.159.86.116:443
document	09:03:44	rust	51.159.86.116:443
document	09:03:45	rust	51.159.86.116:443
document	09:03:45	rust	51.159.86.116:443
document	09:03:46	rust	51.159.86.116:443
document	09:03:46	rust	51.159.86.116:443
document	09:03:47	rust	51.159.86.116:443
document	09:03:47	rust	51.159.86.116:443
document	09:03:47	rust	51.159.86.116:443
document	09:03:48	rust	51.159.86.116:443
document	09:03:48	rust	51.159.86.116:443
document	09:03:49	rust	51.159.86.116:443
document	09:03:49	rust	51.159.86.116:443
document	09:03:50	rust	51.159.86.116:443
document	09:03:50	rust	51.159.86.116:443
artifact	09:05:29	rust	51.159.86.116:443
artifact	09:05:30	rust	51.159.86.116:443
artifact	09:05:30	rust	51.159.86.116:443
artifact	09:05:30	rust	51.159.86.116:443
artifact	09:05:31	rust	51.159.86.116:443
artifact	09:05:31	rust	51.159.86.116:443
artifact	09:05:32	rust	51.159.86.116:443
artifact	09:05:32	rust	51.159.86.116:443
artifact	09:05:33	rust	51.159.86.116:443
artifact	09:05:33	rust	51.159.86.116:443
artifact	09:05:34	rust	51.159.86.116:443
artifact	09:05:34	rust	51.159.86.116:443
artifact	09:05:34	rust	51.159.86.116:443
artifact	09:05:35	rust	51.159.86.116:443
artifact	09:05:35	rust	51.159.86.116:443
artifact	09:05:36	rust	51.159.86.116:443
artifact	09:05:36	rust	51.159.86.116:443
artifact	09:05:37	rust	51.159.86.116:443
artifact	09:05:37	rust	51.159.86.116:443
artifact	09:05:38	rust	51.159.86.116:443
artifact	09:05:38	rust	51.159.86.116:443
artifact	09:05:39	rust	51.159.86.116:443
artifact	09:05:39	rust	51.159.86.116:443
artifact	09:05:39	rust	51.159.86.116:443
artifact	09:05:40	rust	51.159.86.116:443
artifact	09:05:40	rust	51.159.86.116:443
artifact	09:05:41	rust	51.159.86.116:443
artifact	09:05:41	rust	51.159.86.116:443
artifact	09:05:42	rust	51.159.86.116:443
artifact	09:05:42	rust	51.159.86.116:443
artifact	09:05:43	rust	51.159.86.116:443
artifact	09:05:43	rust	51.159.86.116:443
artifact	09:05:44	rust	51.159.86.116:443
artifact	09:05:44	rust	51.159.86.116:443
artifact	09:05:45	rust	51.159.86.116:443
artifact	09:05:45	rust	51.159.86.116:443
artifact	09:05:46	rust	51.159.86.116:443
artifact	09:05:46	rust	51.159.86.116:443
artifact	09:05:46	rust	51.159.86.116:443
artifact	09:05:47	rust	51.159.86.116:443
artifact	09:05:47	rust	51.159.86.116:443
artifact	09:05:48	rust	51.159.86.116:443
artifact	09:05:48	rust	51.159.86.116:443
artifact	09:05:49	rust	51.159.86.116:443
artifact	09:05:49	rust	51.159.86.116:443
artifact	09:05:50	rust	51.159.86.116:443
artifact	09:05:50	rust	51.159.86.116:443
artifact	09:05:50	rust	51.159.86.116:443
artifact	09:05:51	rust	51.159.86.116:443
artifact	09:05:51	rust	51.159.86.116:443
